PARAMETER,PARAMETER_2,TEST CONDITIONS,MIN,TYP,MAX,UNIT
DACRES,DAC resolution,,,14,,bits
fRFout,RF output frequency range,"fDAC = 12 GSPS, 1st Nyquist",600,,6000,MHz
fRFout,RF output frequency range,"fDAC = 12 GSPS, 2nd Nyquist",6000,,12000,MHz
fRFout,RF output frequency range,"fDAC = 9 GSPS, 1st Nyquist",600,,4500,MHz
fRFout,RF output frequency range,"fDAC = 9 GSPS, 2nd Nyquist",4500,,9000,MHz
fRFout,RF output frequency range,"fDAC = 6 GSPS, 1st Nyquist",600,,3000,MHz
fRFout,RF output frequency range,"fDAC =6 GSPS, 2nd Nyquist",3000,,6000,MHz
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 850 MHz, fDAC = 5898.24 MSPS, -0.5dBFS",,4.2,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 1800 MHz, fDAC = 5898.24 MSPS, -0.5dBFS",,4.6,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 2600 MHz, fDAC = 8847.36 MSPS, -0.5dBFS",,4.0,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 3500 MHz, -0.5dBFS",,3.9,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 4900 MHz, -0.5dBFS",,3.1,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 3500 MHz, fDAC = 5898.24 MSPS, -0.5dBFS, straight mode",,1.0,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 4900 MHz, fDAC = 5898.24 MSPS, -0.5dBFS, straight mode",,0.1,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 4900 MHz, fDAC = 8847.36 MSPS, -0.5dBFS, straight mode",,-0.7,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 8100 MHz, -0.1dBFS, mixed mode",,-2.8,,dBm
Pmax_FS,"Max Full Scale Output Power, max gain 1 tone, at device pins","fout = 9600 MHz, -0.1dBFS, mixed mode",,-4.3,,dBm
RTERM,Output termination resistor,Default setting,,50,,Ω
ATTrange,DSA Attenuation range,,,40,,dB
ATTstep,DSA Analog Attenuation step,,,1.0,,dB
ATTstep,DSA Attenuation step accuracy (DNL),"0 < Atten < 40dB, before calibration",,±0.2,,dB
ATTstep,DSA Attenuation step accuracy (DNL),"0 < Atten < 40dB, after calibration",,±0.1,,dB
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 850MHz(2),,±1,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 1800MHz(2),,±1,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout =2600MHz(2),,±1,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 3500MHz(2),,±1,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 4900MHz(2),,±1,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 8100MHz(2),,±2,,deg
ATTphase-err,"DSA Gain Steps Phase accuracy, any 8dB range",fout = 9600MHz(2),,±2,,deg
Gflat,Gain flatness,any 20MHz,,0.1,,dB
Gflat,Gain flatness,"600MHz BW, Fout < 4.9G",,1.2,,dB
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 850MHz, -7dBFS each tone",,-66,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 1800MHz, -7dBFS each tone",,-63,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 2600MHz, -7dBFS each tone",,-62,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 3500MHz, -7dBFS each tone",,-61,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 4900MHz, -7dBFS each tone",,-57,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 8100MHz, -7dBFS each tone",,-55,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 9600MHz, -7dBFS each tone",,-52,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 850MHz, -13dBFS each tone",,-74.4,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 1800MHz, -13dBFS each tone",,-71.1,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 2600MHz, -13dBFS each tone",,-73,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 3500MHz, -13dBFS each tone",,-72,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 4900MHz, -13dBFS each tone",,-67.8,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 8100MHz, -13dBFS each tone",,-64,,dBc
IMD3,"3rd Order Intermodulation distortion, 2 tones at fIF±10 MHz","fout = 9600MHz, -13dBFS each tone",,-68,,dBc
SFDR,Spurious Free Dynamic Range (within Nyquist zone),fout = 850 MHz,,50.8,,dBc
SFDR,Spurious Free Dynamic Range (within Nyquist zone),fout = 1800 MHz,,51.9,,dBc
SFDR,Spurious Free Dynamic Range (within Nyquist zone),fout = 2600 MHz,,42,,dBc
SFDR,Spurious Free Dynamic Range (within Nyquist zone),fout = 3500 MHz,,44,,dBc
SFDR,Spurious Free Dynamic Range (within Nyquist zone),fout= 4900 MHz,,46.1,,dBc
fS/2 - fOUT,Interleaving Image,"fDAC = 5898.24MSPS, interleave mode",,-51.9,,dBc
fS/2 - fOUT,Interleaving Image,"fDAC = 8847.36 MSPS, interleave mode",,-46.0,,dBc
fS/2 - fOUT,Interleaving Image,"fDAC = 11796.48MSPS, interleave mode",,-41,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout = 850 MHz,,-49,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout = 1800 MHz,,-53,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout = 2600 MHz,,-50,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout = 3500 MHz,,-48,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout= 4900 MHz,,-47,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout= 8100 MHz,,-50,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),fout= 9600 MHz,,-53,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout = 850 MHz, AOUT=-12dBFS",,-60,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout = 1800 MHz, AOUT=-12dBFS",,-64,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout = 2600 MHz, AOUT=-12dBFS",,-45,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout = 3500 MHz, AOUT=-12dBFS",,-57,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout= 4900 MHz, AOUT=-12dBFS",,-58,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout= 8100 MHz, AOUT=-12dBFS",,-60,,dBc
HD2,2nd Harmonic Distortion (within Nyquist zone),"fout= 9600 MHz, AOUT=-12dBFS",,-62,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout = 850 MHz,,-62,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout = 1800 MHz,,-55,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout = 2600 MHz,,-57,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout = 3500 MHz,,-60,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout= 4900 MHz,,-54,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout= 8100 MHz,,-54,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),fout= 9600 MHz,,-56,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout = 850 MHz, AOUT=-12dBFS",,-80,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout = 1800 MHz, AOUT=-12dBFS",,-79,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout = 2600 MHz, AOUT=-12dBFS",,-77,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout = 3500 MHz, AOUT=-12dBFS",,-77,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout= 4900 MHz, AOUT=-12dBFS",,-78,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout= 8100 MHz, AOUT=-12dBFS",,-82,,dBc
HD3,3rd Harmonic Distortion (within Nyquist zone),"fout= 9600 MHz, AOUT=-12dBFS",,-80,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout = 850 MHz,,-81,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout = 1800 MHz,,-88,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout = 2600 MHz,,-86,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout = 3500 MHz,,-79,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout= 4900 MHz,,-86,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout= 8100 MHz,,-87,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),fout= 9600 MHz,,-85,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout = 850 MHz, AOUT=-12dBFS",,-93,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout = 1800 MHz, AOUT=-12dBFS",,-98,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout = 2600 MHz, AOUT=-12dBFS",,-84,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout = 3500 MHz, AOUT=-12dBFS",,-87,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout= 4900 MHz, AOUT=-12dBFS",,-87,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout= 8100 MHz, AOUT=-12dBFS",,-87,,dBc
"HDn, n >= 4",Harmonic Distortion n >= 4 (within Nyquist zone),"fout= 9600 MHz, AOUT=-12dBFS",,-87,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout = 850 MHz,,68.5,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout = 1800 MHz,,79.4,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout = 2600 MHz,,77,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout = 3500 MHz,,75,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout= 4900 MHz,,76,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout= 8100 MHz,,61,,dBc
SFDR +/- 250 MHz,Spurious Free Dynamic Range within +/- 250 MHz,fout= 9600 MHz,,64,,dBc
fS/4,Fixed Spur,fDAC = 5898.24MSPS,,-64,,dBFS
fS/4,Fixed Spur,fDAC = 8847.36MSPS,,-75,,dBFS
fS/4,Fixed Spur,fDAC = 11796.48MSPS,,-67,,dBFS
fS/2,Fixed Spur,fDAC = 5898.24MSPS,,-49,,dBFS
fS/2,Fixed Spur,fDAC = 8847.36MSPS,,-48,,dBFS
fS/2,Fixed Spur,fDAC = 11796.48 MSPS,,-48,,dBFS
3*fS/4,Fixed Spur,"2nd Nyquist, fDAC = 5898.24MSPS",,-76,,dBFS
3*fS/4,Fixed Spur,"2nd Nyquist, fDAC = 8847.36MSPS",,-89,,dBFS
3*fS/4,Fixed Spur,"2nd Nyquist, fDAC = 11796.48MSPS",,-63,,dBFS
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 0.85 GHz","Atten=0dB, Pout=-13dBFs",,-68.5,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 0.85 GHz","Atten=20dB,Pout=-13dBFs",,-67.2,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 0.85 GHz","Atten=28dB,Pout=-13dBFs",,-64.5,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 0.85 GHz","Atten=39dB, Pout=-13dBFs",,-53.9,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 1.8425 GHz","Atten=0dB,Pout=-13dBFs",,-70.7,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 1.8425 GHz","Atten=20dB, Pout=-13dBFs",,-68.3,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 1.8425 GHz","Atten=28dB, Pout=-13dBFs",,-62.9,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 1.8425 GHz","Atten=39dB, Pout=-13dBFs",,-52.0,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 2.6 GHz","Atten=0dB, Pout=-13dBFs",,-71,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 2.6 GHz","Atten=20dB, Pout=-13dBFs",,-68,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 2.6 GHz","Atten=28dB, Pout=-13dBFs",,-62,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 2.6 GHz","Atten=39dB, Pout=-13dBFs",,-51.3,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 3.5 GHz","Atten=0dB, Pout=-13dBFs",,-70,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 3.5 GHz","Atten=20dB, Pout=-13dBFs",,-67,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 3.5 GHz","Atten=28dB, Pout=-13dBFs",,-60,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 3.5 GHz","Atten=39dB, Pout=-13dBFs",,-49.8,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 4.9 GHz","Atten=0dB, Pout=-13dBFs",,-68.8,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 4.9 GHz","Atten=20dB, Pout=-13dBFs",,-65.9,,dBc
ACPR1xcarr,"ACPR - 1 carrier, LTE 20MHz E-TM1.1 carrier fout = 4.9 GHz","Atten=28dB, Pout=-13dBFs",,-60.6,,dBc
