PARAMETER,PARAMETER_2,TEST CONDITIONS,MIN,TYP,MAX,UNIT
IVDD1P8,Group 3A: VDD1P8FB + VDD1P8RX + VDD1P8TX,"Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,345,,mA
IVDD1P8,Group 3B: VDD1P8FBCLK + VDD1P8RXCLK + VDD1P8TXDAC+ VDD1P8GPIO + VDDA1P8,"Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,286,,mA
IVDD1P8,Group 3C: VDD1P8PLL + VDD1P8PLLVCO,"Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,69,,mA
IVDD1P2,"Group 2: VDD1P2FB, VDD1P2RX, VDD1P2TXCLK, VDD1P2TXENC, VDD1P2FBCML, VDD1P2RXCML and VDD1P2PLLCLKREF","Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,488,,mA
IVDD0P9,Group 1A: DVDD0P9 + VDDT0P9,"Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,599,,mA
Pdiss,Power Dissipation,"Mode 1a: 2T2R - TDD, 50%/50% duty cycleTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,2399,,mW
IVDD1P8,Group 3A: VDD1P8FB + VDD1P8RX + VDD1P8TX,"Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,349,,mA
IVDD1P8,Group 3B: VDD1P8FBCLK + VDD1P8RXCLK + VDD1P8TXDAC+ VDD1P8GPIO + VDDA1P8,"Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,270,,mA
IVDD1P8,Group 3C: VDD1P8PLL + VDD1P8PLLVCO,"Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,69,,mA
IVDD1P2,"Group 2: VDD1P2FB, VDD1P2RX, VDD1P2TXCLK, VDD1P2TXENC, VDD1P2FBCML, VDD1P2RXCML and VDD1P2PLLCLKREF","Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,531,,mA
IVDD0P9,Group 1A: DVDD0P9 + VDDT0P9,"Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,583,,mA
Pdiss,Power Dissipation,"Mode 1b: 2T2R - TX active, RX in standby,TX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT=fIN= 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,2414,,mW
IVDD1P8,Group 3A: VDD1P8FB + VDD1P8RX + VDD1P8TX,"Mode 1c: 2T2R - RX active, TX in standbyTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,341,,mA
IVDD1P8,Group 3B: VDD1P8FBCLK + VDD1P8RXCLK + VDD1P8TXDAC+ VDD1P8GPIO + VDDA1P8,"Mode 1c: 2T2R - RX active, TX in standbyTX: 125 MSPS input, 24x Int, fDAC = 3 GSPSRX: fADC = 1.5 GSPS, 12x Dec, 125 MSPS output fOUT = fIN = 1 GHzSerdes: 8b/10b, 10 Gbps TX/RX LMFS: 1-4-8-1",,302,,mA
